0 4
0 5
0 6
0 15
0 23
0 25
0 29
1 2
1 4
1 13
1 14
1 20
1 22
1 23
1 28
2 5
2 7
2 13
2 18
2 22
2 23
2 26
3 5
3 6
3 8
3 9
3 10
3 18
3 20
3 25
3 26
3 27
4 5
4 6
4 7
4 10
4 12
4 14
4 15
4 16
4 17
4 20
4 21
4 24
4 26
5 12
5 14
5 15
5 16
5 17
5 18
5 19
5 20
5 24
5 26
5 28
6 8
6 11
6 12
6 15
6 18
6 21
6 22
6 23
6 25
6 27
6 29
7 10
7 11
7 13
7 15
7 17
7 24
7 25
7 26
8 9
8 10
8 13
8 14
8 17
8 18
8 19
8 23
8 26
8 29
9 10
9 14
9 15
9 21
9 23
9 25
9 28
10 11
10 12
10 13
10 16
10 18
10 24
10 25
11 12
11 13
11 15
11 21
11 24
11 27
12 14
12 15
12 16
12 19
12 23
12 27
13 17
13 19
13 21
13 22
13 25
13 27
13 28
14 15
14 17
14 19
14 20
14 23
14 25
14 29
15 17
15 21
15 22
15 26
15 28
16 17
16 21
16 23
16 24
16 25
16 27
16 29
17 21
17 23
17 26
17 27
17 29
18 19
18 23
18 25
18 26
18 27
18 28
19 20
19 22
19 26
19 28
20 21
20 22
20 23
20 24
20 25
20 27
20 28
21 22
21 23
21 25
21 26
21 27
22 24
22 27
22 28
24 26
24 28
25 26
25 28
27 28
27 29
28 29
18
2 
